model_name,learning_rate,epochs,batch_size,seed,validation_split,max_input_length,max_target_length,trial_name,output_dir,status,report_json,report_summary_csv,baseline_mean_toxicity_score,baseline_mean_formality_score,baseline_mean_bert_score_precision,baseline_mean_bert_score_recall,baseline_mean_bert_score_f1,baseline_mean_bart_fluency_score,mean_toxicity_score,mean_formality_score,mean_bert_score_precision,mean_bert_score_recall,mean_bert_score_f1,mean_bart_fluency_score,error
google/flan-t5-base,7e-05,6,4,42,0.1,128,128,google_flan_t5_base_lr7em05_e6_b4_seed42,models/sweeps/google_flan_t5_base_lr7em05_e6_b4_seed42,evaluated,outputs/evaluations/sweeps/google_flan_t5_base_lr7em05_e6_b4_seed42.json,outputs/evaluations/sweeps/google_flan_t5_base_lr7em05_e6_b4_seed42_summary.csv,0.08235179624200101,0.37921706488355994,0.7658810665240162,0.7469942335505039,0.7557813070341944,-6.017576004266739,0.07776318608754082,0.3889730067178607,0.7307595166191458,0.7437846454046667,0.7362716161948629,-6.005887672901154,
google/flan-t5-base,5e-05,6,4,42,0.1,128,128,google_flan_t5_base_lr5em05_e6_b4_seed42,models/sweeps/google_flan_t5_base_lr5em05_e6_b4_seed42,evaluated,outputs/evaluations/sweeps/google_flan_t5_base_lr5em05_e6_b4_seed42.json,outputs/evaluations/sweeps/google_flan_t5_base_lr5em05_e6_b4_seed42_summary.csv,0.08235179624200101,0.37921706488355994,0.7658810665240162,0.7469942335505039,0.7557813070341944,-6.017576004266739,0.07914981424226425,0.3828621021192521,0.7392090293578804,0.7459211532585323,0.7415721122547985,-5.991096225976944,
google/t5-v1_1-large,7e-05,6,4,42,0.1,128,128,google_t5_v1_1_large_lr7em05_e6_b4_seed42,models/sweeps/google_t5_v1_1_large_lr7em05_e6_b4_seed42,failed,,,,,,,,,,,,,,,"RuntimeError('MPS backend out of memory (MPS allocated: 17.62 GiB, other allocations: 397.69 MiB, max allowed: 18.13 GiB). Tried to allocate 125.50 MiB on private pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disable upper limit for memory allocations (may cause system failure).')"
google/t5-v1_1-large,5e-05,6,4,42,0.1,128,128,google_t5_v1_1_large_lr5em05_e6_b4_seed42,models/sweeps/google_t5_v1_1_large_lr5em05_e6_b4_seed42,failed,,,,,,,,,,,,,,,"RuntimeError('MPS backend out of memory (MPS allocated: 17.74 GiB, other allocations: 387.69 MiB, max allowed: 18.13 GiB). Tried to allocate 11.00 MiB on private pool. Use PYTORCH_MPS_HIGH_WATERMARK_RATIO=0.0 to disable upper limit for memory allocations (may cause system failure).')"
